2020-Jun-04 00:59,17.08,134.30,7.00
2020-Jun-04 01:59,16.81,134.50,7.00
2020-Jun-04 02:59,16.67,133.70,7.00
2020-Jun-04 03:59,17.47,133.40,7.01
2020-Jun-04 04:59,17.45,133.80,7.00
2020-Jun-04 05:59,17.35,134.50,7.01
2020-Jun-04 06:59,17.23,134.90,7.01
2020-Jun-04 07:59,16.56,134.80,7.00
2020-Jun-04 08:59,17.39,135.10,7.00
2020-Jun-04 09:59,17.67,135.70,7.01
2020-Jun-04 10:59,17.55,136.80,7.01
2020-Jun-04 11:59,17.54,137.70,7.00
2020-Jun-04 12:59,17.55,136.60,7.00
2020-Jun-04 13:59,17.68,134.70,7.00
2020-Jun-04 14:59,17.78,137.90,7.00
2020-Jun-04 15:59,17.81,138.40,7.00
2020-Jun-04 16:59,17.30,135.60,7.00
2020-Jun-04 17:59,17.51,138.80,7.00
2020-Jun-04 18:59,17.31,139.70,7.00
2020-Jun-04 19:59,16.08,139.10,7.00
2020-Jun-04 20:59,16.14,138.90,7.01
2020-Jun-04 21:59,15.90,138.40,7.00
2020-Jun-04 22:59,15.40,137.80,7.00
2020-Jun-04 23:59,15.03,137.10,7.00
2020-Jun-05 00:59,14.98,136.70,7.00
2020-Jun-05 01:59,14.88,135.80,7.00
2020-Jun-05 02:59,14.05,134.80,7.00
2020-Jun-05 03:59,16.91,134.40,7.00
2020-Jun-05 04:59,14.90,135.40,7.00
2020-Jun-05 05:59,15.70,135.70,7.00
2020-Jun-05 06:59,15.82,135.20,7.00
2020-Jun-05 07:59,15.87,134.90,7.00
2020-Jun-05 08:59,16.06,134.90,7.00
2020-Jun-05 09:59,16.69,135.90,7.00
2020-Jun-05 10:59,16.96,133.40,7.00
2020-Jun-05 11:59,17.20,134.10,7.01
2020-Jun-05 12:59,17.31,134.70,7.00
2020-Jun-05 13:59,17.12,138.80,7.00
2020-Jun-05 14:59,17.12,137.40,7.00
2020-Jun-05 15:59,17.30,135.90,7.00
2020-Jun-05 16:59,16.65,137.20,7.00
2020-Jun-05 17:59,18.09,141.40,7.00
2020-Jun-05 18:59,16.72,142.00,7.00
2020-Jun-05 19:59,16.59,142.30,7.00
2020-Jun-05 20:59,15.63,141.70,7.00
2020-Jun-05 21:59,15.39,140.80,7.00
2020-Jun-05 22:59,15.90,140.50,7.00
2020-Jun-05 23:59,14.64,140.20,7.00
2020-Jun-06 00:59,15.02,139.50,7.00
2020-Jun-06 01:59,14.52,138.70,7.00
2020-Jun-06 02:59,13.80,138.00,7.00
2020-Jun-06 03:59,16.89,136.90,7.00
2020-Jun-06 04:59,16.55,138.20,7.00
2020-Jun-06 05:59,16.52,136.50,7.00
2020-Jun-06 06:59,17.03,137.10,7.00
2020-Jun-06 07:59,16.74,137.00,7.00
2020-Jun-06 08:59,17.05,137.60,7.00
2020-Jun-06 09:59,17.21,139.50,7.00
2020-Jun-06 10:59,17.10,139.20,7.00
2020-Jun-06 11:59,17.74,138.90,7.00
2020-Jun-06 12:59,17.43,141.50,7.00
2020-Jun-06 13:59,17.97,142.30,7.00
2020-Jun-06 14:59,18.02,142.80,7.00
2020-Jun-06 15:59,17.38,144.10,7.00
2020-Jun-06 16:59,18.08,143.70,7.00
2020-Jun-06 17:59,17.57,143.00,7.00
2020-Jun-06 18:59,16.95,145.90,7.00
2020-Jun-06 19:59,16.40,145.70,7.00
2020-Jun-06 20:59,15.78,145.60,7.00
2020-Jun-06 21:59,16.08,145.70,7.00
2020-Jun-06 22:59,16.28,146.10,7.00
2020-Jun-06 23:59,16.02,145.50,7.00
2020-Jun-07 00:59,15.22,145.00,7.00
2020-Jun-07 01:59,15.18,144.40,7.00
2020-Jun-07 02:59,15.20,143.60,7.00
2020-Jun-07 03:59,19.82,140.70,7.00
2020-Jun-07 04:59,19.95,141.20,7.00
2020-Jun-07 05:59,20.08,145.20,7.00
2020-Jun-07 06:59,20.20,140.30,7.00
2020-Jun-07 07:59,20.23,143.00,7.01
2020-Jun-07 08:59,20.83,146.40,7.00
2020-Jun-07 09:59,20.71,142.80,7.00
2020-Jun-07 10:59,21.01,144.70,7.00
2020-Jun-07 11:59,21.07,144.20,7.00
2020-Jun-07 12:59,21.05,144.90,7.00
2020-Jun-07 13:59,20.90,144.30,7.00
2020-Jun-07 14:59,21.26,146.30,7.00
2020-Jun-07 15:59,21.25,145.20,7.00
2020-Jun-07 16:59,20.87,146.30,7.00
2020-Jun-07 17:59,19.40,147.50,7.00
